name,price_EGP,price_USD,stock,date
Aldomet To Lower Blood Pressure 250mg | 30 Tabs,73.5,1.48,No additional info,2024-11-19
Alejon Hair Mask | 200ml,220.0,4.44,No additional info,2024-11-19
Alergoliber 10mg | 20 Tabs,60.0,1.21,No additional info,2024-11-19
Alergoliber 1Mg / Ml Syrup | 120 Ml,35.0,0.71,No additional info,2024-11-19
Alerid Anti-allergic 10mg | 30 Tabs,63.0,1.27,No additional info,2024-11-19
Alerid Susp Anti-Allergic 5mg/5ml | 120ml,10.5,0.21,No additional info,2024-11-19
Alertam | 120mg | 10 Tabs,21.0,0.42,No additional info,2024-11-19
Alertam | 180Mg | 10Tab,36.0,0.73,No additional info,2024-11-19
Alfabonid | 2mcg/ml oral Drops | 10ml,130.0,2.63,No additional info,2024-11-19
Alfacalcidol Oral Drops | 10 ml,86.0,1.74,No additional info,2024-11-19
Alfacareno Oral Drops | 10 ml,109.0,2.2,No additional info,2024-11-19
Alfaclindamycin | 600mg/4ml | 5 Ampule,202.5,4.09,No additional info,2024-11-19
Alfaclindamycin | Antibiotic 300mg/2ml | 5 Amp,99.5,2.01,No additional info,2024-11-19
Alfadopa | 250mg | 30Tab,48.0,0.97,No additional info,2024-11-19
Alfamash | 30 Tabs,135.0,2.73,No additional info,2024-11-19
Algason | Cream Rheumatic Pain | 40gm,28.5,0.58,No additional info,2024-11-19
Algesal Suractive Cream | 40 gm,46.0,0.93,No additional info,2024-11-19
Aliamare | Nasal Spray | 100ml,179.0,3.61,No additional info,2024-11-19
Alka Misr Alkaline Wash Powder | 10 Sachets,21.5,0.43,No additional info,2024-11-19
Alkapress High Blood Pressure 5mg | 20 Tabs,41.0,0.83,No additional info,2024-11-19
Alkapress Plus | High Blood Pressure 10/160mg | 20 Tabs,76.0,1.53,No additional info,2024-11-19
Alkapress Plus | High Blood Pressure 5/160mg | 14 Tabs,58.0,1.17,No additional info,2024-11-19
Alkapress Trio 10/320/25mg | 14 Tabs,62.0,1.25,No additional info,2024-11-19
Alkapress Trio Treating High Blood Pressure 5/160/12.5mg | 14 Tabs,97.0,1.96,No additional info,2024-11-19
Alkapress Trio Treating High Blood Pressure 5/160/25mg | 14 Tabs,110.0,2.22,No additional info,2024-11-19
Alkapress | High Blood Pressure 10mg | 30 Tabs,63.0,1.27,No additional info,2024-11-19
Alkapress | High Blood Pressure | 10 mg | 30 Tabs,63.0,1.27,No additional info,2024-11-19
Alkapride 50mg | 30 Tabs,61.5,1.24,No additional info,2024-11-19
Alkor plus | 10/20mg | 14Tab,98.0,1.98,No additional info,2024-11-19
Alkor plus | 10/40mg | 14Tab,126.0,2.54,No additional info,2024-11-19
Alkor | 20mg | 7Tab,62.0,1.25,No additional info,2024-11-19
Alkor | 40mg | 14Tab,62.0,1.25,No additional info,2024-11-19
All-Vent Syrup for Cough | 125ml,34.0,0.69,No additional info,2024-11-19
Allear Susp Allergic Rhinitis 2.5mg/5ml | 120ml,29.5,0.6,No additional info,2024-11-19
Allear | 5mg | 20 Tabs,52.0,1.05,No additional info,2024-11-19
Allerban Allergies 1mg/5ml | 100ml Susp,21.0,0.42,No additional info,2024-11-19
Allerban Sr 2mg | 20 Tabs,24.0,0.48,No additional info,2024-11-19
Allerdep Nasal Spray,300.0,6.06,No additional info,2024-11-19
Allerdep Nasal Spray | 60ml,300.0,6.06,No additional info,2024-11-19
Allerfen Cough and Allergies 180mg | 20 Tabs,54.0,1.09,No additional info,2024-11-19
Allerfen Cough and Allergies 60mg | 10 Tabs,24.0,0.48,No additional info,2024-11-19
Allergex Caffeine | Anti-allergic | 20 Tab,4.75,0.1,No additional info,2024-11-19
Allergex | Skin allergy | 20 mg | 20 Tab,4.5,0.09,No additional info,2024-11-19
Allergicasone 125\50mcg Nasal Spray | 140 Actuations 23gm,62.0,1.25,No additional info,2024-11-19
Allergyl | Allergies 4mg | 20 Tabs,6.0,0.12,No additional info,2024-11-19
Allergyl | Allergies Susp 2mg/5ml | 120ml,7.5,0.15,No additional info,2024-11-19
Allerzone | Cream | 25gm,27.5,0.56,No additional info,2024-11-19
Allevo 5mg | 20 Tabs,52.0,1.05,No additional info,2024-11-19
Allinphi | Adult Multivitamin | 30 Coated Tablets,120.0,2.42,No additional info,2024-11-19
Aloekita Anti-Dandruff Shampoo | 200ml,119.0,2.4,No additional info,2024-11-19
Aloekita DS DA Caffeine Rich Shampoo | 250ml,199.0,4.02,No additional info,2024-11-19
Aloekita Hair shampoo | 200ml,179.0,3.61,No additional info,2024-11-19
Alpha Chymotrypsin | Anti Inflammatory Enzyme Solution Ampoules IM | 3 Amps | 3 ml,65.0,1.31,No additional info,2024-11-19
Alpha Hepadox | 20Cap,60.0,1.21,No additional info,2024-11-19
Alphabrinzima Eye Drops | 5ml,81.0,1.64,No additional info,2024-11-19
Alphafen | 600Mg | 20Tab,15.75,0.32,No additional info,2024-11-19
Alphanova Eye Drops 0.15% | 5ml,42.0,0.85,No additional info,2024-11-19
Alphanova Plus Eye Drops | 5ml,50.0,1.01,No additional info,2024-11-19
Alphanova Plus | 0.15 % Ophthalmic Solution | 5 mL,50.0,1.01,No additional info,2024-11-19
Alphavim Dietary Supplement 300mg | 20 Caps,145.0,2.93,No additional info,2024-11-19
Alphavim | 300mg Dietary Supplement | 30 Caps,105.0,2.12,No additional info,2024-11-19
Alphintern Anti Inflammatory | 30 Tabs,87.0,1.76,No additional info,2024-11-19
Altiazem 60mg | 40 Tabs,46.0,0.93,No additional info,2024-11-19
Alveolin Cough Reliever | 100ml Susp,32.0,0.65,No additional info,2024-11-19
Alveolin P Syrup | 100ml,35.0,0.71,No additional info,2024-11-19
Alverinspasm Antispasmodic & Antiflatulence | 24 Caps,49.0,0.99,No additional info,2024-11-19
Alzac | 10Mg | 20Cap,18.0,0.36,No additional info,2024-11-19
Alzental | Anthelmintic | 20mg | 20ml Susp,14.0,0.28,No additional info,2024-11-19
Alzental | worms infections | 200mg | 2 Tabs,5.25,0.11,No additional info,2024-11-19
Alzental | worms infections | 200mg | 6 Tabs,33.0,0.67,No additional info,2024-11-19
Alzepizil 10mg | 14 Tabs,107.0,2.16,No additional info,2024-11-19
Alzixa | Alzheimer | 10 mg | 30 Tab,180.0,3.63,No additional info,2024-11-19
Alzmenda Alzheimer 10mg | 21 Tabs,54.0,1.09,No additional info,2024-11-19
Alzmenda Alzheimer 20mg | 21 Tabs,66.0,1.33,No additional info,2024-11-19
Alzmenda Alzheimer 5mg | 14 Tabs,30.0,0.61,No additional info,2024-11-19
Alzmenda | Alzheimer | 10 mg | 20 ml Drops,40.0,0.81,No additional info,2024-11-19
Amaglust | Regulating Sugar Level | 30 mg/2 mg | 30 Tab,67.5,1.36,No additional info,2024-11-19
Amaglust | Regulating Sugar Level | 30 mg/4 mg | 30 Tab,73.5,1.48,No additional info,2024-11-19
Amaryl Lower Blood Sugar 1 mg | 30 Tab,26.5,0.54,No additional info,2024-11-19
Amaryl Lower Blood Sugar 2 mg | 30 Tab,55.5,1.12,No additional info,2024-11-19
Amaryl Lower Blood Sugar 3 mg | 30 Tab,61.5,1.24,No additional info,2024-11-19
Amaryl Lower Blood Sugar 4 mg | 30 Tab,79.5,1.61,No additional info,2024-11-19
Amaryl – M 2Mg/500Mg | 30 Tabs,73.5,1.48,No additional info,2024-11-19
Ambezim G | Swellings and Blood Pools | 30 Tabs,102.0,2.06,No additional info,2024-11-19
Ambroxol Drops Respiratory Diseases 7.5mg/ml | 15ml,10.5,0.21,No additional info,2024-11-19
Ambroxol | 7.5Mg Oral Drops | 15Ml,10.5,0.21,No additional info,2024-11-19
Amebazole | To Treat Acute Amebiasis | 1gm | 2 Tabs,18.5,0.37,No additional info,2024-11-19
Amigraine Adco | 30 Tabs,63.0,1.27,No additional info,2024-11-19
Amigrawest for migraine 2.5mg | 4 Tabs,39.0,0.79,No additional info,2024-11-19
Amikacin Spray 250mg | 100ml,53.0,1.07,No additional info,2024-11-19
Amikacin | Antibiotic | 1 mg | 1 Vial,21.75,0.44,No additional info,2024-11-19
Amikacin | Antibiotic | 500 mg per 2 ml | 1 Vial,23.5,0.47,No additional info,2024-11-19
Amilo Angina Pectoris and High Blood Pressure 5mg | 30 Tabs,37.5,0.76,No additional info,2024-11-19
Aminorenocare | 100 Tabs,506.0,10.22,No additional info,2024-11-19
Amipride 200mg | 20 Tabs,166.5,3.36,No additional info,2024-11-19
Amipride 50mg | 30 Tabs,81.0,1.64,No additional info,2024-11-19
Amipride | 400Mg | 20Tab,136.0,2.75,No additional info,2024-11-19
Amipride | Auditory and Visual Hallucinations | 50 mg | 20 Tab,81.0,1.64,No additional info,2024-11-19
Amiprostone | 24 Mcg | 30 Caps,117.0,2.36,No additional info,2024-11-19
Amiprostone | 8 Mcg | 20 Caps,66.0,1.33,No additional info,2024-11-19
Amitriptine 50mg | 30 Tabs,25.5,0.51,No additional info,2024-11-19
Amlodipine 10mg | 20 Tabs,22.0,0.44,No additional info,2024-11-19
Amlodipine | 5mg | 30Tab,43.5,0.88,No additional info,2024-11-19
Amlosazide 5/12.5/40mg Hypertension Treatment | 30 Tabs,90.0,1.82,No additional info,2024-11-19
Amlosazide | 10 / 25 / 40mg | 30Tab,103.5,2.09,No additional info,2024-11-19
Amlosazide | 5/25/40mg Hypertension Treatment | 30 Tabs,90.0,1.82,No additional info,2024-11-19
Amloveran Plus | High Blood Pressure 5/1.25/5mg | 30 Tablets,117.0,2.36,No additional info,2024-11-19
Amloveran | High Blood Pressure 10/10mg | 30 Tabs,120.0,2.42,No additional info,2024-11-19
Amloveran | High Blood Pressure 5/5mg | 30 Tabs,81.0,1.64,No additional info,2024-11-19
Amocerebral Plus Vertigo and Dizziness 20mg/40mg | 30 Tabs,15.0,0.3,Low stock,2024-11-19
Amocomb | Cream | 15gm,7.0,0.14,No additional info,2024-11-19
Amofluxin | 500mg | 20Cap,40.0,0.81,No additional info,2024-11-19
Amosar Fort | High Blood Pressure 100/25mg | 30 Tabs,114.0,2.3,No additional info,2024-11-19
Amosar | High Blood Pressure 100mg | 30 Tabs,75.0,1.51,No additional info,2024-11-19
Amosar | High Blood Pressure 50mg | 30 Tabs,51.0,1.03,No additional info,2024-11-19
Ampiava | 750Mg | 30Tab,162.0,3.27,No additional info,2024-11-19
Amri-k 10mg/1ml | 5 Ampoule,27.5,0.56,No additional info,2024-11-19
Amrizole Antibiotic 250mg | 20 Tabs,10.5,0.21,No additional info,2024-11-19
Amrizole Antibiotic 500mg | 1 vial IV Infusion,30.5,0.62,No additional info,2024-11-19
Amrizole N | 5 Vag. Supp,10.5,0.21,No additional info,2024-11-19
Amrizole To Treat Bacterial Infection 500mg | 20 Tabs,15.0,0.3,No additional info,2024-11-19
Amrizole | Susp Antiprotozoal | 120ml,17.5,0.35,No additional info,2024-11-19
Amvasc | 5mg | Capsule 30pcs,48.0,0.97,No additional info,2024-11-19
Amypapine | 30Tab,55.0,1.11,No additional info,2024-11-19
Anadar | 30 Caps,349.0,7.05,No additional info,2024-11-19
Anafronil 25mg | 30 Tabs,45.0,0.91,No additional info,2024-11-19
Anafronil SR 75mg | 20 Tabs,75.0,1.51,No additional info,2024-11-19
Anallerge Shortness of Breath 4mg | 60 Tabs,16.5,0.33,No additional info,2024-11-19
Anallerge | Syrup | 100ml,7.0,0.14,No additional info,2024-11-19
Anapramine | 25Mg | 30Tab,31.5,0.64,No additional info,2024-11-19
Anarcol | 50 mg | 30 Tabs,540.0,10.9,No additional info,2024-11-19
Anaseziago Cream | 30gm,28.5,0.58,No additional info,2024-11-19
Anastrozole Sandoz 1mg | 30 Tabs,330.0,6.66,No additional info,2024-11-19
Ancavaz | High Blood Pressure 5/5mg | 20 Tabs,47.0,0.95,No additional info,2024-11-19
Andoceptive | 75/30mcg | 21 Tabs,39.0,0.79,No additional info,2024-11-19
Andodaricin | 7.5mg | 20Tab,58.0,1.17,Low stock,2024-11-19
Andoderma Extra Emollient Gel | 50ml,92.0,1.86,No additional info,2024-11-19
Andogonium | Syrup | 100ml,33.0,0.67,No additional info,2024-11-19
Andopentene 300mg | 20 Tabs,68.0,1.37,No additional info,2024-11-19
Andopentene 600mg | 20 Tabs,75.0,1.51,No additional info,2024-11-19
Andopoxetine 60mg | 6 Tabs,78.0,1.58,No additional info,2024-11-19
Andopoxetine | 60mg | 3 Tabs,39.0,0.79,No additional info,2024-11-19
Andorivaban Prevention of Blood Clots 10mg | 20 Tabs,152.0,3.07,No additional info,2024-11-19
Andorivaban | Prevention of Blood Clots 2.5mg | 20 Tabs,64.0,1.29,No additional info,2024-11-19
Andorivaban | Prevention of Blood Clots 20mg | 20 Tabs,260.0,5.25,No additional info,2024-11-19
Andouristat 120mg | 20 Tabs,62.0,1.25,No additional info,2024-11-19
Andouristat 80mg | 20 Tabs,56.0,1.13,No additional info,2024-11-19
Andovimpamide Anticonvulsant 100mg | 30 Tabs,273.0,5.51,No additional info,2024-11-19
Andovimpamide Anticonvulsant 50mg | 30 Tabs,273.0,5.51,No additional info,2024-11-19
Andovit-Neuro | Dietary Supplement with Vitamin B (1-6-12) to Support Nerves Function | 20Tabs,95.0,1.92,No additional info,2024-11-19
Angiflash Sore Throat Spray | 20ml,270.0,5.45,Out Of Stock,2024-11-19
Angioblock Mono 300mg | 30 Tabs,112.5,2.27,Out Of Stock,2024-11-19
Angioblock Mono | 75 mg | 21 Tabs,19.5,0.39,No additional info,2024-11-19
Angioblock | 150/12.5mg | 21tab,27.0,0.55,No additional info,2024-11-19
Angioblock | 300/12.5Mg | 30Tab,115.5,2.33,No additional info,2024-11-19
Angioblock | 300/25mg | 30tab,75.0,1.51,No additional info,2024-11-19
Angiobradine | 5 mg | 30 Coated Tablets,165.99,3.35,No additional info,2024-11-19
Angiofox Effox 25mg | 30 Caps,78.0,1.58,Low stock,2024-11-19
Angiofox Effox 50mg | 20 Caps,84.0,1.7,No additional info,2024-11-19
Angiosartan High Blood Pressure 20mg | 28 Tabs,40.0,0.81,No additional info,2024-11-19
Angiosartan Plus | High Blood Pressure 20/25mg | 28 Tabs,66.0,1.33,No additional info,2024-11-19
Angiosartan Plus | High Blood Pressure 40/25mg | 28 Tabs,58.0,1.17,No additional info,2024-11-19
Angiosartan plus 40mg/12.5mg | 28 Tabs,78.0,1.58,No additional info,2024-11-19
Angiosartan plus | 20 mg/12.5mg | 28Tab,44.0,0.89,No additional info,2024-11-19
Angiosartan | 10mg | 28 Tablet,32.0,0.65,No additional info,2024-11-19
Angiosartan | High Blood Pressure 40mg | 28 Tabs,54.0,1.09,No additional info,2024-11-19
Angosmooth | 75mg | 30 Tabs,54.0,1.09,No additional info,2024-11-19
Anoro Ellipta 62.5/25mcg Inhaltion | 30 Doses,582.0,11.75,Out Of Stock,2024-11-19
Anoxicam Antirheumatic 20mg | 20 Tabs,39.0,0.79,No additional info,2024-11-19
Anoxicam | 20mg | 10supp,15.0,0.3,No additional info,2024-11-19
Anschlarin | Syrup | 120ml,10.5,0.21,No additional info,2024-11-19
Anselacox 120mg | 10 Tabs,90.0,1.82,No additional info,2024-11-19
Anselacox | Anti-inflammatory 60mg | 30 Tabs,222.0,4.48,No additional info,2024-11-19
Anselacox | Anti-inflammatory 90mg | 30 Tabs,235.5,4.76,No additional info,2024-11-19
Anthramash | Topical Cream | 20gm,18.0,0.36,No additional info,2024-11-19
Anti Cox II | 7.5mg | 20Cap,39.0,0.79,No additional info,2024-11-19
Anti-cox 15mg/3ml | 6 Ampoule,54.0,1.09,No additional info,2024-11-19
Anticox 15mg | 30 Tabs,73.5,1.48,No additional info,2024-11-19
Anticox II Anti Inflammatory & Analgesic 7.5mg | 20 Tabs,39.0,0.79,No additional info,2024-11-19
Anticox | 6 Ampoules,42.0,0.85,No additional info,2024-11-19
Antidiazox | 500mg | 12 Tablets,43.25,0.87,No additional info,2024-11-19
Antidiazox | Susp Anthelmintics 100mg/5ml | 60ml,15.75,0.32,No additional info,2024-11-19
Antiflam 50mg | 20 Tabs,22.25,0.45,No additional info,2024-11-19
Antiflu | 20 Capsule,23.0,0.46,No additional info,2024-11-19
Antinal To Treat Diarrhea 200mg | 24 Caps,36.0,0.73,No additional info,2024-11-19
Antinal To Treat Diarrhea | 60ml,15.0,0.3,No additional info,2024-11-19
Antiver Anthelmintic100mg | 30ml Susp,6.0,0.12,No additional info,2024-11-19
Antodine 40mg | 30 Tabs,58.5,1.18,No additional info,2024-11-19
Antodine for the Treatment of Acidity and Heartburn 20mg | 30 Tabs,36.0,0.73,No additional info,2024-11-19
Antodine | 20mg | 3 Ampoule,39.0,0.79,No additional info,2024-11-19
Antopral 20mg Heartburn | 14 Tabs,61.0,1.23,No additional info,2024-11-19
Antopral Antacid 40gm | 14 Tabs,87.0,1.76,No additional info,2024-11-19
Anuva Arthritis 50mg | 10 Tabs,17.25,0.35,No additional info,2024-11-19
Anviziram | 200Mg | 40Tab,812.0,16.4,No additional info,2024-11-19
Aperitif Syrup | 120ml,75.0,1.51,No additional info,2024-11-19
Apetoid | 20mg | 30 tablet,180.0,3.63,No additional info,2024-11-19
Apexidone Mental Disorders 0.5mg | 30 Tabs,49.5,1.0,No additional info,2024-11-19
Apexidone Mental Disorders 1mg | 20 Tabs,54.0,1.09,No additional info,2024-11-19
Apexidone Mental Disorders 2mg | 20 Tabs,75.0,1.51,No additional info,2024-11-19
Apexidone Mental Disorders 4mg | 30 Tabs,126.0,2.54,No additional info,2024-11-19
Apexidone | Mental Disorders | 3 mg | 30 Tab,126.0,2.54,No additional info,2024-11-19
Apexidone | Susp Mental Disorders 1mg | 100ml,60.0,1.21,No additional info,2024-11-19
Apidone Susp Antihistamine & Anti-Inflammatory | 125ml,15.0,0.3,No additional info,2024-11-19
Apidra Solostar 100U.l/Ml 5Pens | 3Ml,472.5,9.54,No additional info,2024-11-19
Apidra | 100U.I/Ml | 5Cart | 3Ml,425.0,8.58,No additional info,2024-11-19
Apilipex Antipsychotic 10mg | 30 Tabs,90.0,1.82,No additional info,2024-11-19
Apilipex | Antipsychotic 5mg | 30 Tabs,69.0,1.39,No additional info,2024-11-19
Apilipex | Antipsychotic | 30 mg | 30 Tab,120.0,2.42,No additional info,2024-11-19
Apixatrack | 2.5mg | 30 Tabs,366.0,7.39,No additional info,2024-11-19
Apixatrack | 5Mg | 30Tab,366.0,7.39,No additional info,2024-11-19
Apple lite 500mg | 30 Tabs,21.0,0.42,No additional info,2024-11-19
Aprovel | High Blood Pressure 150mg | 14 Tabs,55.0,1.11,No additional info,2024-11-19
Aprovel | High Blood Pressure 300mg | 14 Tabs,70.0,1.41,No additional info,2024-11-19
Aqua Cid | Syrup | 120ml,4.25,0.09,No additional info,2024-11-19
Aqua Plus | 100ml Syrup,30.0,0.61,No additional info,2024-11-19
Arbateg | 2% Susp 100mg/5ml | 100Ml,24.0,0.48,No additional info,2024-11-19
Arcalion Forte | 400 Mg | 30 tablet,53.0,1.07,No additional info,2024-11-19
Arcoxia | 120mg Tablet | 7pcs,94.5,1.91,No additional info,2024-11-19
Arcoxia | 60 Mg | 14 tablet,155.5,3.14,No additional info,2024-11-19
Arcoxia | Arthritis 90mg | 14 Tabs,239.0,4.83,No additional info,2024-11-19
Aricept 10 mg 1 strip s.c,180.0,3.63,No additional info,2024-11-19
Aricept 10 mg | 7 Tab,105.0,2.12,No additional info,2024-11-19
Aricept 10mg | 14 Tabs,360.0,7.27,No additional info,2024-11-19
Aricept | 5mg | 7Tab,150.0,3.03,No additional info,2024-11-19
Aricept | Alzheimer | 5 mg | 14 Tab,300.0,6.06,No additional info,2024-11-19
Arimidex 1mg | 28 Tablets,400.0,8.08,No additional info,2024-11-19
Aripiprazole 10mg | 20 Tabs,85.0,1.72,No additional info,2024-11-19
Aripiprazole 5mgm | 30 Tabs,82.5,1.67,No additional info,2024-11-19
Aripiprazole Antipsychotic 20mg | 20 Tabs,103.75,2.1,No additional info,2024-11-19
Aripiprazole Antipsychotic 30mg | 20 Tabs,152.0,3.07,No additional info,2024-11-19
Aripiprazole | 30mg | 20Tab,126.0,2.54,No additional info,2024-11-19
Aripiprazole | Antipsychotic ODT | 10 mg | 20 Tab,89.76,1.81,No additional info,2024-11-19
Aripiprazole | Antipsychotic | 15 mg | 20 Tab,100.0,2.02,No additional info,2024-11-19
Aripiprex 30mg | 30 Tabs,240.0,4.85,No additional info,2024-11-19
Aripiprex | 10 mg | 30 TAB,120.0,2.42,No additional info,2024-11-19
Aripiprex | Antipsychotic 9.75mg/1.3ml | 1 Vial,21.5,0.43,No additional info,2024-11-19
Aripiprex | Antipsychotic Susp 1mg | 100ml,30.0,0.61,No additional info,2024-11-19
Aripiprex | Antipsychotic | 10 mg | 20 Tab,80.0,1.62,No additional info,2024-11-19
